11.8,3223,4.87,1.03,-0.02,0.4,0.07,600.9,0.4
9.97,3332,4.79,0.07,-0.01,0.5,0.03,8.78,0
11.96,3092,4.91,2.41,0.13,0.36,0.82,2288,0.21
10.89,3371,,0.1,-0.85,0.43,,17.38,0.11
10.89,3371,,0.13,-0.85,0.43,,24.33,0.09
8.13,3564,,0.97,-0.85,0.58,,471,0.1
11.4,3542,,0.1,-0.85,0.53,,15.82,0.08
6.59,5536,4.56,0.49,0.12,0.91,3.37,133.71,0.51
12,3113,4.85,1.15,0.23,0.43,2.56,692,0.11
12,3113,4.85,30,0.23,0.43,2,7300,0.81
9.98,3856,4.64,4.5,0.27,0.69,2.3,4100,0.37
11.96,3466,,0.14,0.02,,0.08,30.6,0.09
11.96,3466,,0.36,0.02,,0.07,123.98,0.37
12.08,3526,,0.09,-0.09,,0.36,14.21,0.31
12.27,3515,4.83,0.04,0.06,0.45,,3.34,
11.95,3380,4.83,0.03,-0.08,0.45,0.03,2.65,0.08
10.8,3722,4.77,0.03,-0.16,0.47,0.01,2.65,0
10.8,3722,4.77,0.09,-0.16,0.47,0.02,13.74,0.05
11.52,3323,,0.12,-0.85,0.35,,26.16,0.05
9.79,3445,4.81,0.06,-0.18,0.47,0.02,7.37,0.05
9.79,3445,4.81,3.6,-0.18,0.47,0.14,3693,0.17
10.68,3376,4.84,0.03,-0.04,0.44,0.07,2.64,0.19
,3685,4.75,0.07,-0.08,0.47,0.02,8.71,0.08
10.55,3228,4.96,0.04,-0.21,0.3,0.05,5.37,0.03
10.55,3228,4.96,0.07,-0.21,0.3,0.02,12.92,0.07
10.55,3228,4.96,0.03,-0.21,0.3,0.01,3.15,0.32
9.7,3519,4.76,1.14,-0.04,0.54,0.33,598.3,0.3
9.7,3519,4.76,0.04,-0.04,0.54,0.03,4.48,0.2
10.22,3390,4.96,0.05,-0.52,0.3,0.02,7.2,0.13
10.22,3390,4.96,0.13,-0.52,0.3,0.01,28.14,0.02
10.22,3390,4.96,0.28,-0.52,0.3,0.02,91.61,0.03
10.22,3390,4.96,0.21,-0.52,0.3,0.01,62.24,0.02
10.22,3390,4.96,0.16,-0.52,0.3,0.01,39.03,0.03
10.22,3390,4.96,0.55,-0.52,0.3,0.01,256.2,0.08
9.38,3281,4.92,0.04,-0.24,0.35,0.04,4.69,0.07
9.59,3734,4.62,1.81,0.08,0.71,6.7,1052.1,0.32
9.59,3734,4.62,6.6,0.08,0.71,6.8,7337,0.2
9.59,3734,4.62,0.04,0.08,0.71,0.01,3.6,0.15
9.59,3734,4.62,0.19,0.08,0.71,0.04,35.37,0.24
,3028,,0.08,-0.85,0.27,,17.48,0.08
,3028,,0.18,-0.85,0.27,,57.32,0.1
9.15,3414,,0.16,-0.09,0.41,0.06,38.14,0.04
6.13,5087,4.42,0.32,-0.01,0.9,0.05,74.72,0.13
6.13,5087,4.42,1.18,-0.01,0.9,0.08,525.8,0.32
8.67,3407,4.83,3.6,-0.18,0.45,,3416,0.08
8.67,3407,4.83,0.16,-0.18,0.45,,35.67,0.03
10.37,3127,4.8,2.35,0.23,0.49,0.9,1914,0.01
10.37,3127,4.8,,0.23,0.49,0.77,7049,0.22
6.17,5114,4.55,0.11,-0.29,0.75,4.01,15.77,0.05
10.17,2940,4.93,0.21,0.16,0.33,1.94,61.03,0
10.17,2940,4.93,0.13,0.16,0.33,0.86,30.23,0
10.17,2940,4.93,0.02,0.16,0.33,0.02,1.94,0.08
